Date,CITI Close,TD Close,BOA Close
6/4/2015,55.330002,37.91,16.780001
6/3/2015,55.630001,38.25,16.93
6/2/2015,54.720001,37.400002,16.719999
6/1/2015,54.450001,36.959999,16.549999
5/29/2015,54.080002,37.150002,16.5
5/28/2015,54.549999,37.610001,16.67
5/27/2015,54.869999,37.560001,16.74
5/26/2015,54.240002,36.93,16.5
5/22/2015,54.970001,37.080002,16.75
5/21/2015,54.84,37.02,16.73
5/20/2015,54.889999,37.27,16.74
5/19/2015,55.330002,37.700001,16.77
5/18/2015,54.669998,37.57,16.51
5/15/2015,54.240002,36.720001,16.35
5/14/2015,54.599998,37.040001,16.52
5/13/2015,54.200001,36.849998,16.469999
5/12/2015,53.740002,36.779999,16.43
5/11/2015,53.970001,37.09,16.49
